Code_INSEE;Code_Postal;Commune;Departement;Region;Latitude;Longitude
62796;62123;SIMENCOURT;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;50.25447252452309;2.633782589722097
29179;29260;PLOUDANIEL;FINISTERE;BRETAGNE;48.5230558972173;-4.313687335918368
14681;14710;SURRAIN;CALVADOS;BASSE-NORMANDIE;49.32844781000329;-0.8548505894306511
33208;33590;JAU-DIGNAC-ET-LOIRAC;GIRONDE;AQUITAINE;45.41498333881706;-0.9625952840195201
33150;33580;DIEULIVOL;GIRONDE;AQUITAINE;44.67798707806095;0.103507198818983
87007;87290;BALLEDENT;HAUTE-VIENNE;LIMOUSIN;46.108678495312155;1.216298672537234
17061;17210;BRAN;CHARENTE-MARITIME;POITOU-CHARENTES;45.349913516165145;-0.26169822463144804
48079;48120;LAJO;LOZERE;LANGUEDOC-ROUSSILLON;44.8288847769141;3.439863707001201
51186;51270;COURJEONNET;MARNE;CHAMPAGNE-ARDENNE;48.824574859832076;3.829863615969952
3047;3600;LA CELLE;ALLIER;AUVERGNE;46.22788445790135;2.778941186470614
56236;56120;SAINT-SERVANT;MORBIHAN;BRETAGNE;47.89876778998475;-2.512001311202936
76231;76500;ELBEUF;SEINE-MARITIME;HAUTE-NORMANDIE;49.276797994845325;0.9971545908745091
9312;9100;LA TOUR-DU-CRIEU;ARIEGE;MIDI-PYRENEES;43.10466630148511;1.666979117800111
11216;11300;MALVIES;AUDE;LANGUEDOC-ROUSSILLON;43.11743990105942;2.183953874040049
76083;76450;BERTHEAUVILLE;SEINE-MARITIME;HAUTE-NORMANDIE;49.75505234238518;0.591607213489152
28217;28250;LOUVILLIERS-LES-PERCHE;EURE-ET-LOIR;CENTRE;48.616165505740405;1.066024155694236
62779;62760;SARTON;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;50.1088396236989;2.4305704826514383
89479;89290;VINCELOTTES;YONNE;BOURGOGNE;47.70961742816569;3.64165113267645
38048;38090;BONNEFAMILLE;ISERE;RHONE-ALPES;45.600561720655556;5.114521035752507
33343;33210;PUJOLS-SUR-CIRON;GIRONDE;AQUITAINE;44.57073654871527;-0.35317637876267904
91195;91490;DANNEMOIS;ESSONNE;ILE-DE-FRANCE;48.45972881263631;2.464508283839827
29134;29180;LOCRONAN;FINISTERE;BRETAGNE;48.09782817155164;-4.2132227736831585
36014;36270;BAZAIGES;INDRE;CENTRE;46.484428042384764;1.5276226500996182
29065;29710;GOURLIZON;FINISTERE;BRETAGNE;48.025677307232264;-4.269957407397725
6026;6530;CABRIS;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;43.6599560638416;6.878255098141755
95424;95370;MONTIGNY-LES-CORMEILLES;VAL-D'OISE;ILE-DE-FRANCE;48.99380355606279;2.193517930460491
88078;88600;BRUYERES;VOSGES;LORRAINE;48.2129348465669;6.716030663107872
40163;40210;LUE;LANDES;AQUITAINE;44.23772025050774;-0.980945788399544
76035;76390;AUMALE;SEINE-MARITIME;HAUTE-NORMANDIE;49.769374151540944;1.7549467172031321
1381;1320;SAINT-NIZIER-LE-DESERT;AIN;RHONE-ALPES;46.052861560967315;5.142461317641448
67048;67350;BITSCHHOFFEN;BAS-RHIN;ALSACE;48.86283519453839;7.624386824960294
33082;33240;CADILLAC-EN-FRONSADAIS;GIRONDE;AQUITAINE;44.962313237610296;-0.373407122830751
30068;30350;CARDET;GARD;LANGUEDOC-ROUSSILLON;44.014875409016106;4.089123657820535
80832;80150;YVRENCH;SOMME;PICARDIE;50.18468473888245;2.015634279111149
34056;34120;CASTELNAU-DE-GUERS;HERAULT;LANGUEDOC-ROUSSILLON;43.435202915370354;3.471304982676925
59283;59138;HARGNIES;NORD;NORD-PAS-DE-CALAIS;50.257774099125825;3.841738070037092
2425;2500;LEUZE;AISNE;PICARDIE;49.85782159934428;4.169638454345229
87072;87380;GLANGES;HAUTE-VIENNE;LIMOUSIN;45.65974223701331;1.460902610761331
23189;23400;SAINT-DIZIER-LEYRENNE;CREUSE;LIMOUSIN;46.027267512735754;1.704883549740463
61422;61270;LES ASPRES;ORNE;BASSE-NORMANDIE;48.67534383590012;0.610110315479375
71321;71510;MOREY;SAONE-ET-LOIRE;BOURGOGNE;46.79159831070363;4.586801080451492
14265;14140;FERVAQUES;CALVADOS;BASSE-NORMANDIE;49.037114371078786;0.27006908392406004
12229;12250;SAINT-JEAN-D'ALCAPIES;AVEYRON;MIDI-PYRENEES;43.948651777904374;2.9670258736579997
33461;33350;SAINT-PHILIPPE-D'AIGUILLE;GIRONDE;AQUITAINE;44.915588472126124;-0.038252638470086
63233;63700;MONTAIGUT;PUY-DE-DOME;AUVERGNE;46.18009024385685;2.801497148666262
80836;80132;YONVAL;SOMME;PICARDIE;50.089911012616305;1.7867168048335662
21504;21410;PRALON;COTE-D'OR;BOURGOGNE;47.310493405728195;4.775030552153553
76274;76890;LA FONTELAYE;SEINE-MARITIME;HAUTE-NORMANDIE;49.69405510780623;0.9437718581598221
78576;78690;SAINT-REMY-L'HONORE;YVELINES;ILE-DE-FRANCE;48.74875077727082;1.8757380583071872
80013;80270;AIRAINES;SOMME;PICARDIE;49.972071231800356;1.945130357366235
15140;15000/15250;NAUCELLES;CANTAL;AUVERGNE;44.9524860449556;2.42117716235828
45052;45250;BRETEAU;LOIRET;CENTRE;47.67702467954196;2.888983574175142
34081;34440;COLOMBIERS;HERAULT;LANGUEDOC-ROUSSILLON;43.31544270736033;3.144084896093244
8417;8230;SEVIGNY-LA-FORET;ARDENNES;CHAMPAGNE-ARDENNE;49.879202745479105;4.479230639720886
28215;28150;LOUVILLE-LA-CHENARD;EURE-ET-LOIR;CENTRE;48.326210297485524;1.7951946927697051
84044;84340;ENTRECHAUX;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;44.22247307651847;5.133324904028405
86011;86430;ASNIERES-SUR-BLOUR;VIENNE;POITOU-CHARENTES;46.15009874884908;0.7846177182199161
30059;30740;LE CAILAR;GARD;LANGUEDOC-ROUSSILLON;43.65859759613843;4.242460608622857
64507;64420;SAUBOLE;PYRENEES-ATLANTIQUES;AQUITAINE;43.31057880745613;-0.11219424995789101
94015;94360;BRY-SUR-MARNE;VAL-DE-MARNE;ILE-DE-FRANCE;48.83840956612506;2.523196576257715
81126;81500;LACOUGOTTE-CADOUL;TARN;MIDI-PYRENEES;43.6418245193232;1.821037416510812
57333;57405;HOMMARTING;MOSELLE;LORRAINE;48.73880774848729;7.144323988218304
2592;2240;PARPEVILLE;AISNE;PICARDIE;49.7943758026965;3.564228353890904
83079;83310;LA MOLE;VAR;PROVENCE-ALPES-COTE D'AZUR;43.21592063269699;6.47656643864063
78285;78550;GRESSEY;YVELINES;ILE-DE-FRANCE;48.83284708564785;1.603393909755878
